arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
14480999,52958026,1,10-135480,2010-10-11 00:00:00,1,N,29,5,17,M,1,2,R,R,,,,
14476625,52936516,1,10-103177,2010-08-06 00:00:00,1,N,29,5,40,M,1,2,R,,,,,
14478799,52950165,2,10-122575,2010-12-22 00:00:00,3,N,32,5,38,M,2,2,R,,,,,
14481986,52959948,1,10-138466,2010-10-18 00:00:00,3,N,32,5,44,M,2,2,R,,,,,
14479793,52951193,2,10-124632,2010-10-31 00:00:00,3,N,32,5,22,M,2,2,R,,,,,
14479792,52951193,3,10-124632,2010-10-25 00:00:00,3,N,32,5,22,M,2,2,R,,,,,
14479791,52951193,1,10-124632,2010-09-18 00:00:00,3,N,32,5,21,M,2,2,R,,,,,
14477670,52944431,1,10-115023,2011-01-24 00:00:00,3,N,32,5,26,M,2,2,R,,,,,
14463684,52883692,2,10-021832,2010-05-08 00:00:00,3,N,32,5,37,M,2,2,R,,,,,
14463683,52883692,1,10-021832,2010-05-08 00:00:00,3,N,32,5,37,M,2,2,R,,,,,
14463676,52883659,3,10-021524,2011-01-21 00:00:00,3,M,32,5,27,M,2,2,R,,,,,
14463675,52883659,1,10-021524,2010-11-04 00:00:00,3,N,32,5,29,M,2,2,R,,,,,
14478764,52949192,1,10-121014,2010-09-11 00:00:00,3,N,32,5,18,M,1,1,R,,,,,
14470007,52907214,2,10-059168,2010-05-19 00:00:00,3,N,32,5,26,M,1,1,R,,,,,
14472173,52914111,2,10-069981,2010-07-01 00:00:00,3,N,32,5,17,M,1,1,R,R,,,,
14472099,52913053,1,10-067670,2010-05-29 00:00:00,3,N,32,5,17,M,1,1,R,R,,,,
14481026,52958953,1,10-136602,2010-10-21 00:00:00,3,N,29,5,27,M,2,3,U,,,,,
14464615,52886720,1,10-027492,2010-04-20 00:00:00,3,N,29,5,24,M,2,3,R,,,,,
14483251,52967667,1,10-148539,2010-12-13 00:00:00,3,N,29,5,24,M,1,1,R,,,,,
14483249,52967667,5,10-148539,2010-11-29 00:00:00,3,N,29,5,25,M,1,2,R,,,,,
14482125,52962852,1,10-142648,2010-11-11 00:00:00,1,N,28,5,23,M,3,2,R,,,,,
14477530,52941433,1,10-110353,2010-08-19 00:00:00,1,N,28,5,26,M,1,1,R,,,,,
14476712,52939435,1,10-107092,2010-08-12 00:00:00,1,N,30,5,20,F,1,2,R,,,,,
14475568,52932641,1,10-098037,2010-07-25 00:00:00,1,N,30,5,37,F,1,2,R,,,,,
14465560,52887576,1,10-027912,2010-03-08 00:00:00,1,N,30,5,31,F,1,2,N,,,,,
14463552,52880843,1,10-017108,2010-02-10 00:00:00,1,N,30,5,32,F,1,2,R,,,,,
14462475,52877885,1,10-011564,2010-01-29 00:00:00,1,N,30,5,46,F,1,2,R,,,,,
14468767,52900319,1,10-047969,2010-04-18 00:00:00,1,N,30,5,32,F,1,2,R,,,,,
14467685,52897379,1,10-043515,2010-04-08 00:00:00,1,N,30,5,47,F,1,2,R,,,,,
14467679,52897366,1,10-043438,2010-06-22 00:00:00,1,N,30,5,46,F,1,2,R,,,,,
14467678,52897365,1,10-043430,2010-04-08 00:00:00,1,N,30,5,46,F,1,2,R,,,,,
14467677,52897364,1,10-043419,2010-04-09 00:00:00,1,N,30,5,38,F,1,2,R,,,,,
14461409,52874951,2,10-006961,2010-01-18 00:00:00,1,N,30,5,40,F,1,2,R,,,,,
14461407,52874949,1,10-006947,2010-01-17 00:00:00,1,N,30,5,27,F,1,2,R,,,,,
14461405,52874947,1,10-006937,2010-01-17 00:00:00,1,N,30,5,41,F,1,2,R,,,,,
14484338,52970639,1,10-153376,2011-02-24 00:00:00,1,N,32,5,20,M,2,2,R,,,,,
14467645,52896416,1,10-042109,2010-04-06 00:00:00,1,N,32,5,36,M,2,2,R,,,,,
14472172,52914111,1,10-069981,2010-07-01 00:00:00,3,N,32,4,,M,1,1,R,,,,,
14480995,52958007,1,10-135202,2010-10-11 00:00:00,1,N,28,5,14,M,1,1,R,R,,,,
14472141,52914003,2,10-068937,2010-05-29 00:00:00,1,N,28,5,31,M,1,1,R,,,,,
14474400,52925757,1,10-087492,2010-08-06 00:00:00,1,N,28,5,19,M,1,1,N,,,,,
14461316,52872981,1,10-003662,2010-01-09 00:00:00,1,N,28,5,18,M,1,1,R,,,,,
